block,dimension,ICC_type,ICC,F,pval,CI95
1,Cognitive,"ICC(A,k)",0.5719598480908932,2.2864991316059964,0.004443212417324115,[0.19 0.8 ]
1,Affective,"ICC(A,k)",0.7804541354562923,4.475636592266582,6.841547364059824e-07,[0.59 0.9 ]
2,Cognitive,"ICC(A,k)",0.2757072481240517,1.4920428831101384,0.1035205455945355,[-0.18  0.62]
2,Affective,"ICC(A,k)",0.4840222174132584,1.91094216671192,0.020690697744911557,[0.03 0.76]
3,Cognitive,"ICC(A,k)",0.3611370938224408,2.0249307479224368,0.013044720315990101,[-0.01  0.66]
3,Affective,"ICC(A,k)",0.7362685781221454,4.893390918906631,1.482090867875206e-07,[0.49 0.88]
4,Cognitive,"ICC(A,k)",0.1622126480069899,1.2200335117904288,0.2588829031311633,[-0.43  0.58]
4,Affective,"ICC(A,k)",0.5192341471983137,2.4416699180647683,0.00233016566095629,[0.16 0.76]
